代理源 河南电信,#genre#
CCTV1综合,http://123.101.98.19:1234/608807420
CCTV2财经,http://123.101.98.19:1234/631780532
CCTV3综艺,http://123.101.98.19:1234/624878271
CCTV4中文国际,http://123.101.98.19:1234/631780421
CCTV5体育,http://123.101.98.19:1234/641886683
CCTV5+体育赛事,http://123.101.98.19:1234/641886773
CCTV6电影,http://123.101.98.19:1234/624878396
CCTV7国防军事,http://123.101.98.19:1234/673168121
CCTV8电视剧,http://123.101.98.19:1234/624878356
CCTV9纪录,http://123.101.98.19:1234/673168140
CCTV10科教,http://123.101.98.19:1234/624878405
CCTV11戏曲,http://123.101.98.19:1234/667987558
CCTV12社会与法,http://123.101.98.19:1234/673168185
CCTV13新闻,http://123.101.98.19:1234/608807423
CCTV14少儿,http://123.101.98.19:1234/624878440
CCTV15音乐,http://123.101.98.19:1234/673168223
CCTV17农业农村,http://123.101.98.19:1234/673168256
CCTV4欧洲,http://123.101.98.19:1234/608807419
CCTV4美洲,http://123.101.98.19:1234/608807416
CGTN外语纪录,http://123.101.98.19:1234/609006487
CGTN阿拉伯语,http://123.101.98.19:1234/609154345
CGTN西班牙语,http://123.101.98.19:1234/609006450
CGTN法语,http://123.101.98.19:1234/609006476
CGTN俄语,http://123.101.98.19:1234/609006446
老故事,http://123.101.98.19:1234/884121956
发现之旅,http://123.101.98.19:1234/624878970
中学生,http://123.101.98.19:1234/708869532
CGTN,http://123.101.98.19:1234/609017205
赛事最经典,http://123.101.98.19:1234/646596895
体坛名栏汇,http://123.101.98.19:1234/629943305
四海钓鱼,http://123.101.98.19:1234/637444975
陕西体育休闲频道,http://123.101.98.19:1234/956909356
24小时城市联赛轮播台,http://123.101.98.19:1234/915512915
武术世界,http://123.101.98.19:1234/958475359
快乐垂钓,http://123.101.98.19:1234/961930263
东方卫视,http://123.101.98.19:1234/651632648
江苏卫视,http://123.101.98.19:1234/623899368
广东卫视,http://123.101.98.19:1234/608831231
北京卫视,http://123.101.98.19:1234/630287636
辽宁卫视,http://123.101.98.19:1234/630291707
河北卫视,http://123.101.98.19:1234/962042070
江西卫视,http://123.101.98.19:1234/783847495
河南卫视,http://123.101.98.19:1234/790187291
陕西卫视,http://123.101.98.19:1234/738910838
大湾区卫视,http://123.101.98.19:1234/608917627
湖北卫视,http://123.101.98.19:1234/947472496
吉林卫视,http://123.101.98.19:1234/947472500
青海卫视,http://123.101.98.19:1234/947472506
东南卫视,http://123.101.98.19:1234/849116810
海南卫视,http://123.101.98.19:1234/947472502
海峡卫视,http://123.101.98.19:1234/849119120
中国农林卫视,http://123.101.98.19:1234/956904896
兵团卫视,http://123.101.98.19:1234/956923145
宁夏卫视,http://123.101.98.19:1234/738910535
重庆卫视,http://123.101.98.19:1234/738910914
三沙卫视,http://123.101.98.19:1234/961023778
上海新闻综合,http://123.101.98.19:1234/651632657
上视东方影视,http://123.101.98.19:1234/617290047
上海第一财经,http://123.101.98.19:1234/608780988
南京新闻综合频道,http://123.101.98.19:1234/838109047
南京教科频道,http://123.101.98.19:1234/838153729
南京十八频道,http://123.101.98.19:1234/838151753
体育休闲频道,http://123.101.98.19:1234/626064707
江苏城市频道,http://123.101.98.19:1234/626064714
江苏国际,http://123.101.98.19:1234/626064674
江苏教育,http://123.101.98.19:1234/628008321
江苏影视频道,http://123.101.98.19:1234/626064697
江苏综艺频道,http://123.101.98.19:1234/626065193
公共新闻频道,http://123.101.98.19:1234/626064693
盐城新闻综合,http://123.101.98.19:1234/639731825
淮安新闻综合,http://123.101.98.19:1234/639731826
泰州新闻综合,http://123.101.98.19:1234/639731818
连云港新闻综合,http://123.101.98.19:1234/639731715
宿迁新闻综合,http://123.101.98.19:1234/639731832
徐州新闻综合,http://123.101.98.19:1234/639731747
优漫卡通频道,http://123.101.98.19:1234/626064703
江阴新闻综合,http://123.101.98.19:1234/955227979
南通新闻综合,http://123.101.98.19:1234/955227985
宜兴新闻综合,http://123.101.98.19:1234/955227996
溧水新闻综合,http://123.101.98.19:1234/639737327
陕西银龄频道,http://123.101.98.19:1234/956909362
陕西都市青春频道,http://123.101.98.19:1234/956909358
陕西秦腔频道,http://123.101.98.19:1234/956909303
陕西新闻资讯频道,http://123.101.98.19:1234/956909289
财富天下,http://123.101.98.19:1234/956923159
镇江新闻综合,http://123.101.98.19:1234/639731783
海南广播电视总台新闻频道,http://123.101.98.19:1234/962067517
海南广播电视总台自贸频道,http://123.101.98.19:1234/962045226
海南广播电视总台社会与法频道,http://123.101.98.19:1234/962045223
海南广播电视总台文旅频道,http://123.101.98.19:1234/962067526
海南广播电视总台少儿频道,http://123.101.98.19:1234/962067523
经典香港电影,http://123.101.98.19:1234/625703337
抗战经典影片,http://123.101.98.19:1234/617432318
